merchant,id,status,order_date,payment_date,shipping_date,product_id,product_name,Grade,price,quantity,SKU,subtotal,total,memo_content,shipping_prefecture,注文詳細ID,Domain,payment_method,canceller,product_code,total_price,status_id,orderline_value,payment_status
Likewize Japan,46590.0,システムキャンセル,,,,7570,iPhone 12 128GB - ブルー SIMフリー,Bグレード,76000,1,,76000,76000,,群馬県,318071,yahoo.com,クレジットカード決済,システムキャンセル,418120,76000,35,76000,
Amemoba,67621.0,システムキャンセル,,,,9276,iPhone 12 64GB - ホワイト SIMフリー,Bグレード,79799,1,753264,79799,79799,,岐阜県,470673,gmail.com,クレジットカード決済,システムキャンセル,418117,79799,35,79799,
Likewize Japan,79952.0,キャンセル受付完了 / 返金完了,44803.63024305556,44803.63024305556,,10662,iPhone 12 64GB - ブラック SIMフリー,Aグレード,68995,1,,68995,68995,,岐阜県,570018,gmail.com,クレジットカード決済,BackMarketJP,418114,68995,3,68995,取消
SECOND HAND,63253.0,システムキャンセル,,,,6448,iPhone 11 128GB - ブラック SIMフリー,Aグレード,59000,1,IP11128BK-1,59000,59000,,大阪府,438386,outlook.jp,クレジットカード決済,システムキャンセル,290063,59000,35,59000,―
Amemoba,64759.0,システムキャンセル,,,,11115,iPhone 13 Pro 256GB - シエラブルー SIMフリー,Cグレード,147800,1,,147800,147800,,大阪府,449487,hotmail.com,クレジットカード決済,システムキャンセル,512422,147800,35,147800,
PRODIG,82097.0,システムキャンセル,,,,4955,iPhone 12 128GB - ブルー SIMフリー,Bグレード,93800,1,12-br-128-2,93800,93800,,愛知県,589567,gmail.com,クレジットカード決済,システムキャンセル,418120,93800,35,93800,
Sakumoba,76138.0,システムキャンセル,,,,6831,iPhone 12 128GB - ブルー SIMフリー,Cグレード,86800,1,,86800,86800,,東京都,535814,gmail.com,クレジットカード決済,システムキャンセル,418120,86800,35,86800,―
ワールドモバイル,80870.0,システムキャンセル,,,,14061,iPad Pro 12.9インチ 第4世代 - 2020 - WiFi + Cellular - 512GB - シルバー SIMフリー,Aグレード,101800,1,,101800,101800,,東京都,578027,gmailler.com,クレジットカード決済,システムキャンセル,338473,101800,35,101800,
ワールドモバイル,56404.0,システムキャンセル,,,,7745,iPad Pro 11インチ 第2世代 - 2020 - WiFi - 256GB - スペースグレイ,Bグレード,75800,1,,75800,75800,,新潟県,388064,gmail.com,クレジットカード決済,システムキャンセル,338083,75800,35,75800,―
ワールドモバイル,53625.0,システムキャンセル,,,,6631,iPad Air 第4世代 10.9インチ - 2020 - WiFi + Cellular - 256GB - スカイブルー SIMフリー,Cグレード,74800,1,,74800,74800,,埼玉県,368063,gmail.com,クレジットカード決済,システムキャンセル,408816,74800,35,74800,
Loop Mobile,45000.0,システムキャンセル,,,,4989,iPhone 12 Pro Max 512GB - シルバー SIMフリー,Cグレード,128500,1,PH-AP-IP12PM-FAC-512-SL-A2410-C,128500,128500,,大阪府,306961,xmailer.be,クレジットカード決済,システムキャンセル,413848,128500,35,128500,―
Loop Mobile,45684.0,システムキャンセル,,,,4797,iPhone 12 Pro 128GB - グラファイト SIMフリー,Cグレード,99500,1,PH-AP-IP12P0-FAC-128-GP-A2406-C,99500,99500,,大阪府,311889,xmailer.be,クレジットカード決済,システムキャンセル,413171,99500,35,99500,
ワールドモバイル,48076.0,システムキャンセル,,,,7746,iPad Pro 11インチ 第2世代 - 2020 - WiFi - 256GB - シルバー,Bグレード,75800,1,,75800,75800,,東京都,328389,outlook.com,クレジットカード決済,システムキャンセル,338087,75800,35,75800,
Loop Mobile,48852.0,システムキャンセル,,,,4991,iPhone 12 Pro Max 512GB - パシフィックブルー SIMフリー,Cグレード,124000,1,PH-AP-IP12PM-FAC-512-PC-A2410-C,124000,124000,,大阪府,333873,xmailer.be,クレジットカード決済,システムキャンセル,413849,124000,35,124000,―
Loop Mobile,49065.0,システムキャンセル,,,,4990,iPhone 12 Pro Max 512GB - ゴールド SIMフリー,Cグレード,124000,1,PH-AP-IP12PM-FAC-512-GD-A2410-C,124000,124000,,大阪府,335365,xmailer.be,クレジットカード決済,システムキャンセル,413850,124000,35,124000,
Lucky Sky,52830.0,システムキャンセル,,,,8909,iPhone 12 128GB - ブラック SIMフリー,Aグレード,79000,1,IP12-128G-BLACK-S,79000,79000,,神奈川県,362403,gmail.com,クレジットカード決済,システムキャンセル,418115,79000,35,79000,―
ワールドモバイル,80878.0,システムキャンセル,,,,14058,iPad Pro 12.9インチ 第4世代 - 2020 - WiFi + Cellular - 1TB - シルバー SIMフリー,Aグレード,104800,1,,104800,104800,,神奈川県,578124,gmailler.com,クレジットカード決済,システムキャンセル,338477,104800,35,104800,
Amemoba,77108.0,システムキャンセル,,,,11233,iPhone 12 128GB - ブラック SIMフリー,Cグレード,72999,1,20253937,72999,72999,,東京都,543899,outlook.jp,クレジットカード決済,システムキャンセル,418115,72999,35,72999,
Amemoba,77134.0,システムキャンセル,,,,11233,iPhone 12 128GB - ブラック SIMフリー,Cグレード,72999,1,20253937,72999,72999,,東京都,544194,outlook.jp,クレジットカード決済,システムキャンセル,418115,72999,35,72999,
Likewize Japan,78143.0,システムキャンセル,,,,7217,iPhone 12 64GB - グリーン SIMフリー,Bグレード,67000,1,,67000,67000,,東京都,553145,outlook.jp,クレジットカード決済,システムキャンセル,418123,67000,35,67000,―
Amemoba,78995.0,キャンセル受付完了 / 返金完了,44799.577939814815,44799.577939814815,,11427,iPad mini 第6世代 8.3インチ - 2021 - WiFi + Cellular - 64GB - スターライト,Aグレード,92800,1,70088393,92800,92800,canceled; unable to complete 本人確認,埼玉県,561066,gmail.com,クレジットカード決済,BackMarketJP,512575,92800,3,92800,取消
P&G,64840.0,キャンセル受付完了 / 返金完了,44756.09936342593,44756.09936342593,,4664,AirPods 2 (エアポッツ第2世代 - MRXJ2JA) with Wireless Charging Case (ワイヤレス充電),Aグレード,18500,1,4549995054170-d,18500,18500,,茨城県,450058,outlook.jp,クレジットカード決済,BackMarketJP,388408,18500,3,18500,取消
Amemoba,66045.0,システムキャンセル,,,,11719,iPhone 13 Pro Max 512GB - シエラブルー SIMフリー,Aグレード,198000,1,905610,198000,198000,,埼玉県,458792,gmail.com,クレジットカード決済,システムキャンセル,512431,198000,35,198000,―
ハピネスネット,57619.0,システムキャンセル,,,,10762,iPhone 13 Pro 256GB - シエラブルー SIMフリー,Aグレード,177000,1,,177000,177000,,熊本県,396833,gmail.com,クレジットカード決済,システムキャンセル,512422,177000,35,177000,―
Amemoba,74545.0,システムキャンセル,,,,7382,AirPods Pro (エアポッツプロ - MWP22J/A),Cグレード,26800,1,J3LVLKKT,26800,26800,,埼玉県,522437,sofia.re,クレジットカード決済,システムキャンセル,308532,26800,35,26800,―
アップルバイヤーズ,57621.0,システムキャンセル,,,,9288,iPhone 12 Pro 256GB - グラファイト SIMフリー,Cグレード,102800,1,,102800,102800,,愛知県,396846,xmailer.be,クレジットカード決済,システムキャンセル,413182,102800,35,102800,―
P&G,58384.0,システムキャンセル,,,,8103,iPhone 12 Pro 128GB - グラファイト SIMフリー,Cグレード,98800,1,4549995183887-cc,98800,98800,,愛知県,402258,xmailer.be,クレジットカード決済,システムキャンセル,413171,98800,35,98800,―
SECOND HAND,55375.0,システムキャンセル,,,,9182,iPhone 12 Pro 256GB - パシフィックブルー SIMフリー,Aグレード,103900,2,IP12PR256PBLU-1,207800,207800,,愛知県,380606,hotmail.com,クレジットカード決済,システムキャンセル,413184,207800,35,207800,
Lucky Sky,59700.0,システムキャンセル,,,,9868,iPhone 12 256GB - グリーン SIMフリー,Aグレード,94000,1,IP12-256G-GREEN-S,94000,94000,,愛知県,412062,love.bbexcite.jp,クレジットカード決済,システムキャンセル,388256,94000,35,94000,―
アップルバイヤーズ,76658.0,システムキャンセル,,,,12917,iPad Pro 11インチ 第2世代 - 2020 - WiFi - 256GB - スペースグレイ,Aグレード,110757,1,37976,110757,110757,,岐阜県,540199,outlook.com,クレジットカード決済,システムキャンセル,338083,110757,35,110757,
Amemoba,77233.0,システムキャンセル,,,,12971,iPad Pro 11インチ 第3世代  - 2021 - WiFi - 256GB - スペースグレイ,Cグレード,107954,1,9R402MMP,107954,107954,,岐阜県,545055,outlook.com,クレジットカード決済,システムキャンセル,473748,107954,35,107954,
Sakumoba,47064.0,システムキャンセル,,,,7498,iPhone 13 Pro 512GB - ゴールド SIMフリー,Aグレード,147980,1,,147980,147980,,東京都,321280,outlook.com,クレジットカード決済,システムキャンセル,512410,147980,35,147980,
ハピネスネット,56807.0,システムキャンセル,,,,10635,iPhone 13 Pro 128GB - シエラブルー SIMフリー,Aグレード,163800,1,,163800,163800,,東京都,391110,gmx.com,クレジットカード決済,システムキャンセル,512418,163800,35,163800,―
Sakumoba,46642.0,システムキャンセル,,,,7498,iPhone 13 Pro 512GB - ゴールド SIMフリー,Aグレード,147980,1,,147980,147980,,大阪府,318440,yahoo.com,クレジットカード決済,システムキャンセル,512410,147980,35,147980,―
P&G,45223.0,システムキャンセル,,,,4943,iPhone 12 Pro 256GB - パシフィックブルー SIMフリー,Aグレード,119300,1,4549995183955-d,119300,119300,,千葉県,308601,yahoo.com,クレジットカード決済,システムキャンセル,413184,119300,35,119300,―
PRODIG,65097.0,システムキャンセル,,,,1485,iPhone XR 64GB - ブラック SIMフリー,Cグレード,27698,1,,27698,27698,,大阪府,451837,hotmail.com,クレジットカード決済,システムキャンセル,161659,27698,35,27698,
Likewize Japan,82270.0,システムキャンセル,,,,5767,iPhone 12 64GB - ブルー SIMフリー,Bグレード,67000,1,,67000,67000,,滋賀県,591248,hotmail.com,クレジットカード決済,システムキャンセル,418121,67000,35,67000,
SECOND HAND,79091.0,システムキャンセル,,,,12229,iPhone 12 Pro Max 256GB - グラファイト SIMフリー,Cグレード,124450,1,IP12PRM256GRP-3,124450,124450,,神奈川県,561901,ganriben22.com,クレジットカード決済,システムキャンセル,413847,124450,35,124450,
Sakumoba,51421.0,システムキャンセル,,,,9087,iPhone 12 256GB - (PRODUCT)Red SIMフリー,Bグレード,86800,1,,86800,86800,,大阪府,352218,gmail.com,クレジットカード決済,システムキャンセル,414217,86800,35,86800,―
男前ケータイ,46482.0,システムキャンセル,,,,5943,iPhone XR 128GB - コーラル SIMフリー,Cグレード,33000,1,,33000,33000,,大阪府,317371,outlook.com,クレジットカード決済,システムキャンセル,199320,33000,35,33000,―
Lucky Sky,51584.0,システムキャンセル,,,,7930,iPhone 13 mini 128GB - ピンク SIMフリー,Aグレード,81000,1,IP13 MINI-128G-PINK-S,81000,81000,,大阪府,353489,hotmail.com,クレジットカード決済,システムキャンセル,512332,81000,35,81000,―
Loop Mobile,45970.0,システムキャンセル,,,,4800,iPhone 12 Pro 128GB - パシフィックブルー SIMフリー,Cグレード,99500,1,PH-AP-IP12P0-FAC-128-PC-A2406-C,99500,99500,,大阪府,313850,hotmail.com,クレジットカード決済,システムキャンセル,413174,99500,35,99500,
アップルバイヤーズ,55181.0,システムキャンセル,,,,9118,iPhone 12 Pro Max 256GB - グラファイト SIMフリー,Bグレード,124800,1,,124800,124800,,大阪府,379226,gmail.com,クレジットカード決済,システムキャンセル,413847,124800,35,124800,―
ワールドモバイル,54993.0,システムキャンセル,,,,6643,iPad Air 第4世代 10.9インチ - 2020 - WiFi + Cellular - 64GB - グリーン SIMフリー,Cグレード,64800,1,,64800,64800,,大阪府,377830,gmail.com,クレジットカード決済,システムキャンセル,408773,64800,35,64800,
Amemoba,78757.0,システムキャンセル,,,,12744,iPad Air 第5世代 10.9インチ - 2022 - WiFi + Cellular SIMフリー - 64GB - スペースグレイ,Aグレード,96800,1,71505930,96800,96800,,石川県,558811,outlook.jp,クレジットカード決済,システムキャンセル,687769,96800,35,96800,
Sakumoba,79239.0,システムキャンセル,,,,13500,iPad Pro 11インチ 第3世代  - 2021 - WiFi - 128GB - シルバー,Aグレード,107993,1,,107993,107993,,石川県,563232,protonmail.com,クレジットカード決済,システムキャンセル,475041,107993,35,107993,
Amemoba,80201.0,システムキャンセル,,,,11283,iPad mini 第6世代 8.3インチ - 2021 - WiFi - 64GB - スペースグレイ,Aグレード,82800,1,Q9G6JHKJ,82800,82800,,石川県,572288,protonmail.com,クレジットカード決済,システムキャンセル,512566,82800,35,82800,
アップルバイヤーズ,80154.0,キャンセル受付完了 / 返金完了,44804.4693287037,44804.4693287037,,12437,iPhone SE (第1世代) 16GB - スペースグレイ SIMフリー,Cグレード,12000,1,371213712437527,12000,12000,本人確認が取れなかった為。,東京都,571910,protonmail.com,クレジットカード決済,BackMarketJP,10743,12000,3,12000,取消
Reuse Style,79635.0,システムキャンセル,,,,13346,MacBook Air 13インチ - 2020 - Retinaディスプレイ - スペースグレイ - Core i5 1.1 GHz - SSD 256GB - RAM 16GB - JIS配列キーボード,Bグレード,115000,1,,115000,115000,,群馬県,566950,gmail.com,クレジットカード決済,システムキャンセル,716010_JP,115000,35,115000,
ハピネスネット,80233.0,キャンセル受付完了 / 返金完了,44804.68896990741,44804.68896990741,,13444,iPhone 12 64GB - ホワイト SIMフリー,Aグレード,81769,1,,81769,81769,Fraud: なりすまし懸念によりキャンセル,群馬県,572522,gmail.com,クレジットカード決済,BackMarketJP,418117,81769,3,81769,取消
Lucky Sky,48020.0,システムキャンセル,,,,6068,iPhone 12 128GB - パープル SIMフリー,Aグレード,83000,1,IP12-128G-PURPLE-S,83000,83000,,千葉県,328024,outlook.com,クレジットカード決済,システムキャンセル,475988,83000,35,83000,
Loop Mobile,45033.0,システムキャンセル,,,,4800,iPhone 12 Pro 128GB - パシフィックブルー SIMフリー,Cグレード,99500,1,PH-AP-IP12P0-FAC-128-PC-A2406-C,99500,99500,,千葉県,307204,hotmail.com,クレジットカード決済,システムキャンセル,413174,99500,35,99500,
RECO,64680.0,システムキャンセル,,,,11232,iPhone 13 Pro 256GB - シルバー SIMフリー,Bグレード,158800,1,,158800,158800,,千葉県,448864,hotmail.com,クレジットカード決済,システムキャンセル,512414,158800,35,158800,―
Guest Mobile,77214.0,システムキャンセル,,,,13409,iPhone 13 Pro Max 256GB - シエラブルー SIMフリー,Aグレード,199800,1,,199800,199800,,愛知県,544899,outlook.com,クレジットカード決済,システムキャンセル,512429,199800,35,199800,
PRODIG,67295.0,システムキャンセル,,,,1557,iPhone SE (第2世代) 64GB - ホワイト SIMフリー,Bグレード,33800,1,se2-wh-64-2,33800,33800,,東京都,468215,xmailer.be,クレジットカード決済,システムキャンセル,347380,33800,35,33800,―
ワールドモバイル,83521.0,システムキャンセル,,,,12739,iPad Air 第4世代 10.9インチ - 2020 - WiFi - 64GB - スペースグレイ,Aグレード,68800,1,,68800,68800,,東京都,603121,outlook.com,クレジットカード決済,システムキャンセル,417916,68800,35,68800,
Amemoba,79663.0,システムキャンセル,,,,10910,iPhone 12 128GB - (PRODUCT)Red SIMフリー,Aグレード,85899,1,30387358,85899,85899,,東京都,567206,gmail.com,クレジットカード決済,システムキャンセル,418118,85899,35,85899,
P&G,70057.0,システムキャンセル,,,,12036,Apple Watch Series 6 (GPSモデル) - 2020 - 44mm ブルーアルミニウムケース - ディープネイビースポーツバンド付き,Cグレード,41000,1,4549995176711-cc,41000,41000,,埼玉県,489055,126.com,クレジットカード決済,システムキャンセル,568721,41000,35,41000,
P&G,70045.0,システムキャンセル,,,,12045,Apple Watch Series 6 (GPSモデル) - 2020 - 40mm ブルーアルミニウムケース - ディープネイビースポーツバンド付き,Cグレード,39000,1,4549995173871-cc,39000,39000,,埼玉県,488960,126.com,クレジットカード決済,システムキャンセル,634882,39000,35,39000,
Amemoba,79712.0,システムキャンセル,,,,10910,iPhone 12 128GB - (PRODUCT)Red SIMフリー,Aグレード,85899,1,30387358,85899,85899,,神奈川県,567769,gmail.com,クレジットカード決済,システムキャンセル,418118,85899,35,85899,
ハピネスネット,81646.0,システムキャンセル,,,,11386,iPhone 12 64GB - パープル SIMフリー,Aグレード,78800,1,,78800,78800,,神奈川県,585464,gmail.com,クレジットカード決済,システムキャンセル,475946,78800,35,78800,
P&G,58509.0,システムキャンセル,,,,4620,AirPods Pro (エアポッツプロ - MWP22J/A),Aグレード,22990,1,4549995085938-d,22990,22990,,埼玉県,403165,gmail.com,クレジットカード決済,システムキャンセル,308532,22990,35,22990,―
Sakumoba,76474.0,システムキャンセル,,,,13500,iPad Pro 11インチ 第3世代  - 2021 - WiFi - 128GB - シルバー,Aグレード,109700,1,,109700,109700,,愛知県,538677,outlook.com,クレジットカード決済,システムキャンセル,475041,109700,35,109700,
Amemoba,76904.0,システムキャンセル,,,,11721,iPhone 11 256GB - ホワイト SIMフリー,Cグレード,57800,1,13566561,57800,57800,,愛知県,542312,hotmail.com,クレジットカード決済,システムキャンセル,290069,57800,35,57800,
Lucky Sky,70283.0,システムキャンセル,,,,12489,iPhone 12 Pro 128GB - シルバー SIMフリー,Aグレード,107000,1,IP12 PRO-128G-SILVER-S,213000,213000,,宮城県,490653,gmail.com,クレジットカード決済,システムキャンセル,413172,213000,35,107000,
Sakumoba,55274.0,システムキャンセル,,,,9936,iPad Pro 11インチ 第2世代 - 2020 - WiFi - 256GB - スペースグレイ,Aグレード,86800,1,,86800,86800,,愛知県,379932,hotmail.com,クレジットカード決済,システムキャンセル,338083,86800,35,86800,―
アップルバイヤーズ,83543.0,システムキャンセル,,,,7957,iPhone 6s 64GB - シルバー SIMフリー,Bグレード,14966,1,2390837363,14966,14966,,北海道,603315,yahoo.co.jp,クレジットカード決済,システムキャンセル,3218,14966,35,14966,
男前ケータイ,77986.0,システムキャンセル,,,,12709,iPhone 13 Pro 256GB - シエラブルー SIMフリー,Aグレード,149890,1,,149890,149890,,北海道,551757,gmail.com,クレジットカード決済,システムキャンセル,512422,149890,35,149890,―
Lucky Sky,78007.0,システムキャンセル,,,,13437,iPhone 13 Pro 256GB - シルバー SIMフリー,Aグレード,147000,1,IP13 PRO-256G-SILVER-S,147000,147000,,北海道,551937,gmail.com,クレジットカード決済,システムキャンセル,512414,147000,35,147000,
Lucky Sky,78566.0,システムキャンセル,,,,13433,iPhone 13 256GB - ピンク SIMフリー,Aグレード,112899,1,IP13-256G-PINK-S,112899,112899,,北海道,556956,gmail.com,クレジットカード決済,システムキャンセル,512311,112899,35,112899,―
Sakumoba,79939.0,システムキャンセル,,,,11496,iPhone 12 Pro 128GB - シルバー SIMフリー,Cグレード,100120,1,,100120,100120,,北海道,569893,gmail.com,クレジットカード決済,システムキャンセル,413172,100120,35,100120,
Guest Mobile,79719.0,キャンセル受付完了 / 返金完了,44802.733310185184,44802.733310185184,,13406,iPhone 13 Pro Max 256GB - ゴールド SIMフリー,Aグレード,199800,1,,199800,199800,,北海道,567842,gmail.com,クレジットカード決済,BackMarketJP,512439,199800,3,199800,取消
ケートラ,58634.0,システムキャンセル,,,,9267,Beats by Dr. Dre Solo Pro ワイヤレスノイズキャンセリングヘッドホン - ブラック - 1P3G664FE/A,Aグレード,19180,1,,19180,19180,,大阪府,404048,qq.com,クレジットカード決済,システムキャンセル,490483,19180,35,19180,―
Amemoba,83157.0,システムキャンセル,,,,11191,iPad Air 第4世代 10.9インチ - 2020 - WiFi - 64GB - シルバー,Aグレード,68800,1,584JQ16N,68800,68800,,大阪府,599560,hotmail.com,クレジットカード決済,システムキャンセル,419600,68800,35,68800,
アップルバイヤーズ,80493.0,システムキャンセル,,,,13922,iPhone 12 Pro 256GB - パシフィックブルー SIMフリー,Aグレード,96999,1,39388,96999,96999,,愛知県,574639,gmail.com,クレジットカード決済,システムキャンセル,413184,96999,35,96999,
Amemoba,80482.0,システムキャンセル,,,,13369,iPhone 12 Pro 128GB - シルバー SIMフリー,Cグレード,99999,1,18026416,99999,99999,,愛知県,574547,gmail.com,クレジットカード決済,システムキャンセル,413172,99999,35,99999,
Likewize Japan,80486.0,システムキャンセル,,,,4459,iPhone 12 Pro 256GB - パシフィックブルー SIMフリー,Aグレード,97000,1,,97000,97000,,愛知県,574575,gmail.com,クレジットカード決済,システムキャンセル,413184,97000,35,97000,
SECOND HAND,80525.0,システムキャンセル,,,,11358,iPhone 12 64GB - パープル SIMフリー,Cグレード,80000,1,IP1264PPL-3,80000,80000,,愛知県,574998,gmail.com,クレジットカード決済,システムキャンセル,475946,80000,35,80000,
Amemoba,58649.0,システムキャンセル,,,,10858,iPhone 13 128GB - ブルー SIMフリー,Aグレード,95800,1,517652,95800,95800,,埼玉県,404150,outlook.jp,クレジットカード決済,システムキャンセル,512315,95800,35,95800,
RECO,60306.0,システムキャンセル,,,,11232,iPhone 13 Pro 256GB - シルバー SIMフリー,Bグレード,158800,1,,158800,158800,,埼玉県,416498,outlook.jp,クレジットカード決済,システムキャンセル,512414,158800,35,158800,―
Amemoba,60380.0,システムキャンセル,,,,11231,iPhone 13 Pro 512GB- グラファイト SIMフリー,Cグレード,175000,1,883479,175000,175000,,埼玉県,417074,outlook.jp,クレジットカード決済,システムキャンセル,512406,175000,35,175000,
PRODIG,79666.0,システムキャンセル,,,,4955,iPhone 12 128GB - ブルー SIMフリー,Bグレード,93800,1,12-br-128-2,93800,93800,,茨城県,567234,gmail.com,クレジットカード決済,システムキャンセル,418120,93800,35,93800,
ワールドモバイル,50287.0,システムキャンセル,,,,6652,iPad Air 第4世代 10.9インチ - 2020 - WiFi - 256GB - スペースグレイ,Bグレード,70800,1,,70800,70800,,愛知県,344189,yahoo.com,クレジットカード決済,システムキャンセル,417915,70800,35,70800,―
